company,H1,H2,H3,H4,H5,2023,2022,2021,2020,2019
BEHALA - Berliner Hafen- und Lagerhausgesellschaft mbH,Spezifische Daten,Gütereing. Lkw (T t),,,,971.0,1212.0,1204.0,1007.0,896.0
BEHALA - Berliner Hafen- und Lagerhausgesellschaft mbH,Spezifische Daten,Güterausg. Schiff (T t),,,,139.0,212.0,144.0,311.0,339.0
BEHALA - Berliner Hafen- und Lagerhausgesellschaft mbH,Spezifische Daten,Güterausg. Bahn (T t),,,,351.0,444.0,456.0,518.0,496.0
BEHALA - Berliner Hafen- und Lagerhausgesellschaft mbH,Spezifische Daten,Güterausg. Lkw (T t),,,,1522.0,1541.0,1623.0,1554.0,1662.0
BEN Berlin Energie und Netzholding GmbH,Bilanzdaten,Bilanzsumme,,,,3492.6,3229.08,3170.4,,
BEN Berlin Energie und Netzholding GmbH,Bilanzdaten,Bilanzsumme,Anlagevermögen,,,2966.35,2823.29,2705.2,,
BEN Berlin Energie und Netzholding GmbH,Bilanzdaten,Bilanzsumme,Anlagevermögen,Sachanlagen,,2806.68,2680.04,2559.8,,
BEN Berlin Energie und Netzholding GmbH,Bilanzdaten,Bilanzsumme,Anlagevermögen,Finanzanlagen,,27.17,0.08,0.1,,
BEN Berlin Energie und Netzholding GmbH,Bilanzdaten,Bilanzsumme,Umlaufvermögen,,,520.64,400.43,453.9,,
BEN Berlin Energie und Netzholding GmbH,Bilanzdaten,Bilanzsumme,Eigenkapital,,,35.21,12.1,,,
BEN Berlin Energie und Netzholding GmbH,Bilanzdaten,Bilanzsumme,Eigenkapital,Rücklagen,,12.07,0.01,0.01,,
BEN Berlin Energie und Netzholding GmbH,Bilanzdaten,Bilanzsumme,Sonderposten für Zuschüsse,,,186.92,156.61,140.7,,
BEN Berlin Energie und Netzholding GmbH,Bilanzdaten,Bilanzsumme,Fremdkapital,,,3040.1,2821.95,2779.4,,
BEN Berlin Energie und Netzholding GmbH,Bilanzdaten,Bilanzsumme,Fremdkapital,Rückstellungen,,488.36,434.36,458.5,,
BEN Berlin Energie und Netzholding GmbH,Bilanzdaten,Bilanzsumme,Fremdkapital,Verbindlichkeiten,,2551.75,2387.59,2320.9,,
BEN Berlin Energie und Netzholding GmbH,Bilanzdaten,Bilanzsumme,Fremdkapital,Verbindlichkeiten,Kreditverbindlichkeiten,2317.5,2148.05,2180.0,,
BEN Berlin Energie und Netzholding GmbH,GuV-Daten,Gesamterträge,,,,1456.94,1351.63,623.8,,
BEN Berlin Energie und Netzholding GmbH,GuV-Daten,Gesamterträge,Umsatzerlöse,,,1352.52,1263.29,574.8,,
BEN Berlin Energie und Netzholding GmbH,GuV-Daten,Gesamterträge,Übrige Erträge,,,104.42,88.34,49.0,,
BEN Berlin Energie und Netzholding GmbH,GuV-Daten,Gesamtaufwendungen,,,,1433.83,1331.59,631.8,,
BEN Berlin Energie und Netzholding GmbH,GuV-Daten,Gesamtaufwendungen,Personalaufwand,,,208.49,161.08,73.6,,
BEN Berlin Energie und Netzholding GmbH,GuV-Daten,Gesamtaufwendungen,Abschreibungen,,,171.92,164.35,79.6,,
BEN Berlin Energie und Netzholding GmbH,GuV-Daten,Gesamtaufwendungen,Zinsaufwand,,,28.15,27.41,14.9,,
BEN Berlin Energie und Netzholding GmbH,GuV-Daten,Gesamtaufwendungen,Übrige Aufwendungen,,,1025.26,978.76,463.7,,
BEN Berlin Energie und Netzholding GmbH,GuV-Daten,EBITDA,,,,235.2,215.18,82.8,,
BEN Berlin Energie und Netzholding GmbH,GuV-Daten,EBT,,,,40.07,23.86,-11.6,,
BEN Berlin Energie und Netzholding GmbH,GuV-Daten,Jahresergebnis,,,,23.11,20.04,-8.0,,
BEN Berlin Energie und Netzholding GmbH,GuV-Daten,Gewinnabführung,,,,,,,,
BEN Berlin Energie und Netzholding GmbH,Beschäftigte,Beschäftigte,,,,1898.0,1750.0,1558.0,,
BEN Berlin Energie und Netzholding GmbH,Beschäftigte,Beschäftigte,davon Auszubildende,,,117.0,117.0,113.0,,
BEN Berlin Energie und Netzholding GmbH,Allgemeine Daten,Zuführungen,,,,,,2.0,,
BEN Berlin Energie und Netzholding GmbH,Allgemeine Daten,Zuführungen,Zuführungen Land Berlin,,,,,2.0,,
